D,P,ppn,mode,time
16, 4, 1, 0, 0.181827
16, 4, 1, 1, 0.059313
256, 4, 1, 0, 0.340113
256, 4, 1, 1, 0.241530
2048, 4, 1, 0, 0.599677
2048, 4, 1, 1, 0.469879
16, 4, 8, 0, 0.315120
16, 4, 8, 1, 0.269740
256, 4, 8, 0, 1.175392
256, 4, 8, 1, 1.154100
2048, 4, 8, 0, 3.048877
2048, 4, 8, 1, 3.356231
16, 16, 1, 0, 0.079954
16, 16, 1, 1, 0.029983
256, 16, 1, 0, 0.409317
256, 16, 1, 1, 0.302514
2048, 16, 1, 0, 1.712440
2048, 16, 1, 1, 1.562940
16, 16, 8, 0, 0.487715
16, 16, 8, 1, 0.435718
256, 16, 8, 0, 2.364336
256, 16, 8, 1, 2.243532
2048, 16, 8, 0, 11.676439
2048, 16, 8, 1, 11.754519
16, 4, 1, 0, 0.064817
16, 4, 1, 1, 0.033169
16, 4, 1, 0, 0.063328
16, 4, 1, 1, 0.026683
256, 4, 1, 0, 0.209331
256, 4, 1, 1, 0.146066
2048, 4, 1, 0, 0.622962
2048, 4, 1, 1, 0.413223
16, 4, 8, 0, 0.342951
16, 4, 8, 1, 0.272270
256, 4, 8, 0, 0.984785
256, 4, 8, 1, 0.764816
2048, 4, 8, 0, 3.704623
2048, 4, 8, 1, 5.517016
16, 16, 1, 0, 0.326625
16, 16, 1, 1, 0.084712
256, 16, 1, 0, 0.362456
256, 16, 1, 1, 0.352315
2048, 16, 1, 0, 1.494430
2048, 16, 1, 1, 1.407934
16, 16, 8, 0, 0.490288
16, 16, 8, 1, 0.380847
256, 16, 8, 0, 1.937272
256, 16, 8, 1, 1.764818
2048, 16, 8, 0, 12.257489
2048, 16, 8, 1, 9.855742
16, 4, 1, 0, 0.059412
16, 4, 1, 1, 0.027709
256, 4, 1, 0, 0.278513
256, 4, 1, 1, 0.130448
2048, 4, 1, 0, 0.631962
2048, 4, 1, 1, 0.502481
16, 4, 8, 0, 0.374314
16, 4, 8, 1, 0.240686
256, 4, 8, 0, 0.939659
256, 4, 8, 1, 0.796169
2048, 4, 8, 0, 4.093295
2048, 4, 8, 1, 4.081476
16, 16, 1, 0, 0.214894
16, 16, 1, 1, 0.063267
256, 16, 1, 0, 0.351835
256, 16, 1, 1, 0.300685
2048, 16, 1, 0, 2.207475
2048, 16, 1, 1, 2.017747
16, 16, 8, 0, 0.644561
16, 16, 8, 1, 0.418641
256, 16, 8, 0, 2.043385
256, 16, 8, 1, 1.894465
2048, 16, 8, 0, 12.819450
2048, 16, 8, 1, 11.953239
