D,P,ppn,mode,time
16, 4, 1, 0, 0.120393
16, 4, 1, 1, 0.034397
256, 4, 1, 0, 0.197977
256, 4, 1, 1, 0.188435
2048, 4, 1, 0, 0.584035
2048, 4, 1, 1, 0.484365
16, 4, 8, 0, 0.305203
16, 4, 8, 1, 0.232328
256, 4, 8, 0, 0.663243
256, 4, 8, 1, 0.423440
2048, 4, 8, 0, 1.789757
2048, 4, 8, 1, 1.440410
16, 16, 1, 0, 0.047660
16, 16, 1, 1, 0.067696
256, 16, 1, 0, 0.124411
256, 16, 1, 1, 0.183455
2048, 16, 1, 0, 0.453118
2048, 16, 1, 1, 0.668791
16, 16, 8, 0, 0.515418
16, 16, 8, 1, 0.256836
256, 16, 8, 0, 0.579586
256, 16, 8, 1, 0.556436
2048, 16, 8, 0, 1.537736
2048, 16, 8, 1, 1.766568
