D,P,ppn,mode,time
16, 4, 1, 0, 0.067225
16, 4, 1, 1, 0.011800
256, 4, 1, 0, 0.413609
256, 4, 1, 1, 0.138626
2048, 4, 1, 0, 0.414533
2048, 4, 1, 1, 0.626076
16, 4, 8, 0, 0.324343
16, 4, 8, 1, 0.148751
256, 4, 8, 0, 0.824538
256, 4, 8, 1, 0.461781
2048, 4, 8, 0, 2.093372
2048, 4, 8, 1, 1.134471
16, 16, 1, 0, 0.071317
16, 16, 1, 1, 0.059438
256, 16, 1, 0, 0.191968
256, 16, 1, 1, 0.229305
2048, 16, 1, 0, 0.389859
2048, 16, 1, 1, 0.542081
16, 16, 8, 0, 0.398742
16, 16, 8, 1, 0.168827
256, 16, 8, 0, 0.677433
256, 16, 8, 1, 0.501797
2048, 16, 8, 0, 1.275181
2048, 16, 8, 1, 2.265209
16, 4, 1, 0, 0.053995
16, 4, 1, 1, 0.005149
16, 4, 1, 0, 0.025246
16, 4, 1, 1, 0.022050
256, 4, 1, 0, 0.116512
256, 4, 1, 1, 0.191193
2048, 4, 1, 0, 0.263252
2048, 4, 1, 1, 0.379383
16, 4, 8, 0, 0.394551
16, 4, 8, 1, 0.151342
256, 4, 8, 0, 0.620715
256, 4, 8, 1, 0.434935
2048, 4, 8, 0, 2.194529
2048, 4, 8, 1, 1.060714
16, 16, 1, 0, 0.101213
16, 16, 1, 1, 0.015165
256, 16, 1, 0, 0.191361
256, 16, 1, 1, 0.159379
2048, 16, 1, 0, 0.407401
2048, 16, 1, 1, 0.530109
16, 16, 8, 0, 0.451796
16, 16, 8, 1, 0.119041
256, 16, 8, 0, 0.789881
256, 16, 8, 1, 0.516406
2048, 16, 8, 0, 1.118277
2048, 16, 8, 1, 2.139233
16, 4, 1, 0, 0.037398
16, 4, 1, 1, 0.019027
256, 4, 1, 0, 0.144161
256, 4, 1, 1, 0.160414
2048, 4, 1, 0, 0.457014
2048, 4, 1, 1, 0.443517
16, 4, 8, 0, 0.471445
16, 4, 8, 1, 0.140731
256, 4, 8, 0, 0.565441
256, 4, 8, 1, 0.388397
2048, 4, 8, 0, 2.599820
2048, 4, 8, 1, 1.540057
16, 16, 1, 0, 0.120302
16, 16, 1, 1, 0.051191
256, 16, 1, 0, 0.162512
256, 16, 1, 1, 0.167045
2048, 16, 1, 0, 0.747089
2048, 16, 1, 1, 0.764592
16, 16, 8, 0, 0.496528
16, 16, 8, 1, 0.155131
256, 16, 8, 0, 0.650250
256, 16, 8, 1, 0.470644
2048, 16, 8, 0, 1.293475
2048, 16, 8, 1, 2.440937
